houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_x,y
101103116150,2009年商品房 满五唯一  高层视野开阔无遮挡,https://bj.lianjia.com/ershoufang/101103116150.html,冠城名敦道 ,中楼层(共23层)/2009年建塔楼/广渠门,1室1厅,60.62平米,西南,中楼层(共23层)/2009年建塔楼/广渠门,房本满五年,502,82811,102人关注/44次带看近地铁房本满五年随时看房502万单价82811元/平米,精装,2018-11-03 15:10:35.496434,"116.447106,39.891494"
101103478560,中海紫御公馆 2室1厅 608万,https://bj.lianjia.com/ershoufang/101103478560.html,中海紫御公馆 ,中楼层(共22层)/2010年建板塔结合/陶然亭,2室1厅,61.54平米,东 北,中楼层(共22层)/2010年建板塔结合/陶然亭,房本满五年,608,98798,49人关注/28次带看近地铁房本满两年随时看房608万单价98798元/平米,精装,2018-11-03 15:10:35.496590,"116.390496,39.870139"
101102509236,远洋德邑 南向 商品房 满五年税费少,https://bj.lianjia.com/ershoufang/101102509236.html,远洋德邑 ,中楼层(共22层)/2002年建塔楼/广渠门,3室2厅,127.42平米,南,中楼层(共22层)/2002年建塔楼/广渠门,房本满五年,999,78403,249人关注/22次带看近地铁房本满五年随时看房999万单价78403元/平米,简装,2018-11-03 15:10:35.496679,"116.446354,39.895371"
101103032413,南北通透两居室，市长楼业主诚心出售。,https://bj.lianjia.com/ershoufang/101103032413.html,东花市北里中区 ,低楼层(共6层)/1990年建板楼/东花市,2室1厅,126.55平米,南 北,低楼层(共6层)/1990年建板楼/东花市,房本满五年,960,75860,349人关注/46次带看近地铁房本满五年随时看房960万单价75860元/平米,精装,2018-11-03 15:10:35.496815,"116.433533,39.898919"
101102898077,新奥洋房东西南向三居室 精装修,https://bj.lianjia.com/ershoufang/101102898077.html,新奥洋房 ,底层(共11层)/2005年建板塔结合/永定门,3室2厅,128.7平米,东 南 西,底层(共11层)/2005年建板塔结合/永定门,房本满五年,910,70708,238人关注/15次带看近地铁房本满五年910万单价70708元/平米,精装,2018-11-03 15:10:35.496927,"116.409396,39.864101"
101102356372,东城区 龙潭公园 左安漪园小区 三室两卫 满五唯一,https://bj.lianjia.com/ershoufang/101102356372.html,左安漪园 ,低楼层(共15层)/2004年建塔楼/左安门,3室2厅,123.93平米,西 北,低楼层(共15层)/2004年建塔楼/左安门,房本满五年,1050,84726,352人关注/9次带看近地铁房本满五年随时看房1050万单价84726元/平米,简装,2018-11-03 15:10:35.497017,"116.440645,39.873827"
101102918479,绿景苑 高楼层 视野开阔 采光充足 无遮挡,https://bj.lianjia.com/ershoufang/101102918479.html,绿景苑 ,顶层(共18层)/2002年建塔楼/广渠门,3室2厅,136.64平米,东南,顶层(共18层)/2002年建塔楼/广渠门,房本满五年,1220,89286,861人关注/16次带看近地铁房本满五年1220万单价89286元/平米,精装,2018-11-03 15:10:35.497099,"116.438224,39.888702"
101103272118,十字坡东里 2室1厅 510万,https://bj.lianjia.com/ershoufang/101103272118.html,十字坡东里 ,中楼层(共5层)/1986年建板楼/工体,2室1厅,52.51平米,南,中楼层(共5层)/1986年建板楼/工体,房本满五年,510,97125,29人关注/31次带看房本满五年510万单价97125元/平米,简装,2018-11-03 15:10:35.497185,"116.439957,39.939835"
101103410208,中石化24小时热水南北通透满5年唯一,https://bj.lianjia.com/ershoufang/101103410208.html,和平里六区 ,中楼层(共14层)/2000年建板塔结合/和平里,3室1厅,119.61平米,南 北,中楼层(共14层)/2000年建板塔结合/和平里,房本满五年,1190,99491,42人关注/41次带看近地铁房本满五年1190万单价99491元/平米,简装,2018-11-03 15:10:35.497265,"116.424394,39.955992"
101103633086,东城区 东直门 清水苑小区 带电梯板楼南北通透三居,https://bj.lianjia.com/ershoufang/101103633086.html,东直门北大街 ,中楼层(共14层)/1990年建板塔结合/东直门,3室1厅,77平米,南 北,中楼层(共14层)/1990年建板塔结合/东直门,房本满五年,732,95065,16人关注/3次带看房本满五年随时看房732万单价95065元/平米,精装,2018-11-03 15:10:35.497348,"116.433574,39.941399"
101103077209,东城区 小三居 户型方正 南北通透 挂西窗 中间楼层,https://bj.lianjia.com/ershoufang/101103077209.html,富莱茵花园 ,中楼层(共6层)/2000年建板楼/永定门,3室1厅,86.5平米,南 西 北,中楼层(共6层)/2000年建板楼/永定门,房本满五年,579,66937,162人关注/19次带看近地铁房本满五年579万单价66937元/平米,简装,2018-11-03 15:10:35.497430,"116.408111,39.860521"
101102781373,民旺园院内三居室 南北通透 一层无遮挡 满五唯一,https://bj.lianjia.com/ershoufang/101102781373.html,民旺园 ,底层(共5层)/1985年建板楼/和平里,3室1厅,62.24平米,南 北,底层(共5层)/1985年建板楼/和平里,房本满五年,660,106042,78人关注/12次带看近地铁房本满五年随时看房660万单价106042元/平米,其他,2018-11-03 15:10:35.497519,"116.427766,39.951474"
101102809955,东二环内，广渠门水上华城商品房小区，观景房三居室,https://bj.lianjia.com/ershoufang/101102809955.html,水上华城 ,中楼层(共20层)/2004年建板楼/广渠门,3室1厅,144.43平米,东 西,中楼层(共20层)/2004年建板楼/广渠门,房本满五年,1350,93471,64人关注/12次带看房本满五年随时看房1350万单价93471元/平米,精装,2018-11-03 15:10:35.497622,"116.440590,39.887020"
101102891794,灯市口三居少有户型 带电梯产权清晰靠谱卖 我的老业主,https://bj.lianjia.com/ershoufang/101102891794.html,灯市口大街 ,低楼层(共10层)/1990年建板塔结合/灯市口,3室1厅,70.61平米,西南,低楼层(共10层)/1990年建板塔结合/灯市口,房本满五年,840,118964,152人关注/18次带看近地铁房本满五年随时看房840万单价118964元/平米,精装,2018-11-03 15:10:35.497707,"116.412867,39.918813"
101102944583,崇文门，广渠门，东花市，北京上舍朝南两居室,https://bj.lianjia.com/ershoufang/101102944583.html,北京上舍 ,中楼层(共15层)/2008年建塔楼/广渠门,2室1厅,81.62平米,南,中楼层(共15层)/2008年建塔楼/广渠门,房本满五年,670,82088,340人关注/19次带看近地铁房本满五年随时看房670万单价82088元/平米,精装,2018-11-03 15:10:35.497828,"116.407526,39.904030"
101103059422,南二环外，东城区，2002年社区，大两居,https://bj.lianjia.com/ershoufang/101103059422.html,天天家园 ,高楼层(共11层)/2002年建板塔结合/永定门,2室1厅,112.12平米,东北,高楼层(共11层)/2002年建板塔结合/永定门,房本满五年,700,62434,430人关注/18次带看近地铁房本满五年随时看房700万单价62434元/平米,简装,2018-11-03 15:10:35.497955,"116.300183,40.144352"
101103180973,东花市大街2号院南北通透3居室，不临街,https://bj.lianjia.com/ershoufang/101103180973.html,东花市大街2号院 ,顶层(共6层)/1980年建板楼/东花市,3室1厅,68.68平米,南 北,顶层(共6层)/1980年建板楼/东花市,房本满五年,604,87945,299人关注/19次带看近地铁房本满五年随时看房604万单价87945元/平米,精装,2018-11-03 15:10:35.498041,"116.438358,39.897425"
101103167375,花园式小区封闭式管理有地下停车场,https://bj.lianjia.com/ershoufang/101103167375.html,和平里东街10号院 ,低楼层(共13层)/2004年建板楼/和平里,2室1厅,118.46平米,南 北,低楼层(共13层)/2004年建板楼/和平里,房本满五年,1250,105521,113人关注/16次带看近地铁房本满五年1250万单价105521元/平米,精装,2018-11-03 15:10:35.498126,"116.425566,39.958172"
101103003213,东二环海晟名苑 全新四居室 南北通透 拎包入住,https://bj.lianjia.com/ershoufang/101103003213.html,海晟名苑南区 ,中楼层(共17层)/2004年建板楼/工体,4室2厅,237.74平米,南 北,中楼层(共17层)/2004年建板楼/工体,房本满五年,3200,134601,113人关注/4次带看近地铁房本满五年随时看房3200万单价134601元/平米,精装,2018-11-03 15:10:35.498208,"116.441909,39.937691"
101102371290,骑河楼 满五年唯一 总价低位置好 正对公园景观好,https://bj.lianjia.com/ershoufang/101102371290.html,骑河楼大街 ,中楼层(共6层)/1987年建板楼/灯市口,1室1厅,41.31平米,东,中楼层(共6层)/1987年建板楼/灯市口,房本满五年,496,120068,213人关注/9次带看房本满五年随时看房496万单价120068元/平米,精装,2018-11-03 15:10:35.498301,"116.405060,39.919681"
101102984654,白桥大街，格局方正三居，视野开阔，诚心出售。,https://bj.lianjia.com/ershoufang/101102984654.html,白桥大街 ,顶层(共6层)/1980年建板楼/东花市,3室1厅,70.51平米,东 西,顶层(共6层)/1980年建板楼/东花市,房本满五年,558,79138,102人关注/9次带看近地铁房本满五年随时看房558万单价79138元/平米,精装,2018-11-03 15:10:35.500015,"116.439172,39.897044"
