houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_xy,guanzhu
101103000000.0,华纺东区 南北通透 次顶层 无个税 有钥匙,https://bj.lianjia.com/ershoufang/101103060299.html,华纺易城 ,高楼层(共18层)/2005年建板塔结合/朝青,2室1厅,94.06,南 北,高楼层(共18层)/2005年建板塔结合/朝青,房本满五年,745.0,79205,16772人关注/11次带看近地铁房本满五年745万单价79205元/平米,精装,15:14.8,"116.514192,39.929839",16772.0
101103000000.0,新街口平安里南北通透满五唯一 有钥匙随时看 独立管理,https://bj.lianjia.com/ershoufang/101103130761.html,大乘巷 ,高楼层(共6层)/1989年建板楼/官园,2室1厅,59.6,南 北,高楼层(共6层)/1989年建板楼/官园,房本满五年,715.0,119967,13479人关注/33次带看近地铁房本满五年随时看房715万单价119967元/平米,简装,12:32.5,"116.366230,39.935495",13479.0
101103000000.0,北京西城月坛99年南北通透大两居，双阳台，采光无遮挡,https://bj.lianjia.com/ershoufang/101103229329.html,月坛北街25号院 ,底层(共6层)/1999年建板楼/月坛,2室1厅,77.7,南 北,底层(共6层)/1999年建板楼/月坛,房本满五年,980.0,126127,9121人关注/27次带看近地铁房本满五年随时看房980万单价126127元/平米,精装,12:32.5,"116.338548,39.920261",9121.0
101100000000.0,角门东里两居，格局好，楼层好，业主诚心卖,https://bj.lianjia.com/ershoufang/101100452567.html,角门东里 ,高楼层(共19层)/1995年建塔楼/角门,2室1厅,62.65,东南,高楼层(共19层)/1995年建塔楼/角门,房本满五年,380.0,60655,6745人关注/35次带看近地铁房本满五年随时看房380万单价60655元/平米,精装,17:55.2,"116.384616,39.847858",6745.0
101102000000.0,万科紫苑 南北通透全能小三居 精装修 保持好！,https://bj.lianjia.com/ershoufang/101102299892.html,万科紫苑 ,低楼层(共15层)/2011年建板楼/青塔,3室2厅,95.22,南 北,低楼层(共15层)/2011年建板楼/青塔,房本满五年,695.0,72989,5865人关注/49次带看近地铁房本满两年随时看房695万单价72989元/平米,精装,17:55.2,"116.255762,39.868997",5865.0
101103000000.0,风景club南北通透3居格局方正诚意出售,https://bj.lianjia.com/ershoufang/101102731655.html,风景club ,顶层(共12层)/2007年建板楼/草桥,3室1厅,124.03,南 北,顶层(共12层)/2007年建板楼/草桥,房本满五年,890.0,71757,4794人关注/40次带看近地铁房本满五年随时看房890万单价71757元/平米,精装,17:48.5,"116.351285,39.841230",4794.0
101102000000.0,富卓苑 低楼层南北通透两居室 无遮挡,https://bj.lianjia.com/ershoufang/101101502347.html,富卓苑 ,低楼层(共6层)/2000年建板楼/马家堡,2室1厅,69.59,南 北,低楼层(共6层)/2000年建板楼/马家堡,房本满五年,450.0,64665,4569人关注/15次带看近地铁房本满五年随时看房450万单价64665元/平米,简装,17:51.9,"116.378235,39.838490",4569.0
101100000000.0,弘善家园南向开间，满两年，免增值税,https://bj.lianjia.com/ershoufang/101100379913.html,弘善家园 ,中楼层(共28层)/2009年建塔楼/潘家园,1室0厅,42.64,南,中楼层(共28层)/2009年建塔楼/潘家园,房本满五年,260.0,60976,3978人关注/16次带看近地铁房本满两年随时看房260万单价60976元/平米,毛坯,16:22.8,"116.453958,39.867764",3978.0
101102000000.0,北工大 禧福汇小区 南北三居 满五年 业主诚售,https://bj.lianjia.com/ershoufang/101102015306.html,禧福汇 ,高楼层(共20层)/2008年建板塔结合/北工大,3室1厅,139.66,南 北,高楼层(共20层)/2008年建板塔结合/北工大,房本满五年,1170.0,83775,3454人关注/27次带看近地铁房本满五年随时看房1170万单价83775元/平米,精装,15:29.9,"116.475102,39.883100",3454.0
101103000000.0,时尚大两居，观景落地飘窗，视野广阔，采光好,https://bj.lianjia.com/ershoufang/101103177623.html,中国房子 ,9层/2005年建板楼/田村,2室2厅,112.28,南,9层/2005年建板楼/田村,房本满五年,810.0,72142,3298人关注/15次带看房本满五年随时看房810万单价72142元/平米,简装,22:01.4,"116.304548,39.929429",3298.0
