houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_xy,guanzhu
101102000000.0,聚兴园产权车位，诚心出售，方便看,https://bj.lianjia.com/ershoufang/101102083610.html,聚兴园 ,/2005年建板楼/鲁谷,车位,11.96,东 南 西 北,/2005年建板楼/鲁谷,房本满五年,25.0,20904,37人关注/0次带看房本满两年25万单价20904元/平米,无电梯,21:57.8,"116.222526,39.892695",37.0
101103000000.0,聚兴园 车位 30万,https://bj.lianjia.com/ershoufang/101102917689.html,聚兴园 ,/2006年建板楼/鲁谷,车位,13.8,南 北,/2006年建板楼/鲁谷,房本满五年,30.0,21740,11人关注/0次带看房本满两年30万单价21740元/平米,无电梯,21:57.8,"116.222526,39.892695",11.0
101103000000.0,西绦南巷 1室1厅 213万,https://bj.lianjia.com/ershoufang/101102645058.html,西绦南巷 ,底层(共1层)/2009年建暂无数据/六铺炕,1室1厅,15.25,南,底层(共1层)/2009年建暂无数据/六铺炕,房本满五年,213.0,139673,621人关注/4次带看近地铁213万单价139673元/平米,简装,14:47.2,"116.391059,39.947905",621.0
101102000000.0,华人一品阁 1房间1卫 90万,https://bj.lianjia.com/ershoufang/101101915213.html,华人一品阁 ,低楼层(共3层)/2006年建板塔结合/东四,1房间1卫,16.12,南,低楼层(共3层)/2006年建板塔结合/东四,房本满五年,90.0,55832,202人关注/1次带看房本满五年90万单价55832元/平米,简装,11:55.1,"116.410599,39.932952",202.0
101102000000.0,华人一品阁 1房间1卫 90万,https://bj.lianjia.com/ershoufang/101101915230.html,华人一品阁 ,低楼层(共3层)/2006年建板塔结合/东四,1房间1卫,16.12,南,低楼层(共3层)/2006年建板塔结合/东四,房本满五年,90.0,55832,105人关注/0次带看房本满五年90万单价55832元/平米,简装,11:58.6,"116.410599,39.932952",105.0
101103000000.0,华人一品阁 1房间1卫 110万,https://bj.lianjia.com/ershoufang/101102563755.html,华人一品阁 ,低楼层(共3层)/2007年建板塔结合/东四,1房间1卫,20.28,北,低楼层(共3层)/2007年建板塔结合/东四,房本满五年,110.0,54241,32人关注/0次带看110万单价54241元/平米,精装,12:11.7,"116.410599,39.932952",32.0
101103000000.0,荣丰二期小户型，西城二环居家，精装修拎包入住,https://bj.lianjia.com/ershoufang/101103329581.html,荣丰2008 ,低楼层(共20层)/2004年建塔楼/广安门,1室0厅,21.93,北,低楼层(共20层)/2004年建塔楼/广安门,房本满五年,325.0,148199,7人关注/1次带看近地铁房本满两年325万单价148199元/平米,精装,14:38.6,"116.336616,39.894695",7.0
101103000000.0,金色南向开间 满五年家庭名下仅一套住房,https://bj.lianjia.com/ershoufang/101103405391.html,世纪金色嘉园 ,低楼层(共30层)/2003年建塔楼/北京南站,1室0厅,23.75,南,低楼层(共30层)/2003年建塔楼/北京南站,房本满五年,219.0,92211,51人关注/0次带看近地铁房本满五年219万单价92211元/平米,简装,18:52.9,"116.372109,39.869255",51.0
101104000000.0,西城 荣丰2008小区  楼西南角  随时看房  正南向,https://bj.lianjia.com/ershoufang/101103528644.html,荣丰2008 ,高楼层(共26层)/2006年建塔楼/广安门,1室0厅,23.8,南,高楼层(共26层)/2006年建塔楼/广安门,房本满五年,320.0,134454,27人关注/23次带看近地铁随时看房320万单价134454元/平米,简装,13:27.3,"116.336616,39.894695",27.0
101103000000.0,荣丰南向开间 中间层 满五年 业主诚售,https://bj.lianjia.com/ershoufang/101103099015.html,荣丰2008 ,中楼层(共26层)/2006年建塔楼/广安门,1室0厅,23.8,南,中楼层(共26层)/2006年建塔楼/广安门,房本满五年,335.0,140757,74人关注/3次带看近地铁房本满五年335万单价140757元/平米,精装,14:26.2,"116.336616,39.894695",74.0
